,AirT_1pt5m
AirT_1pt5m,1.0
AirT_2m,0.9848826893830415
PTemp,0.9763502960990686
IRTS_Body,0.9520142234458827
SoilSfcT,0.8894275500661477
IRTS_Trgt,0.8755310469693943
Temp_C,0.6734942370577224
Vitel_100cm_d,-0.671227516448884
DayOfYear,0.6362326179485207
SoilCond_tc,0.6165946091045945
eI_tc,0.6165946081032977
AirT_10m,0.5998624143371513
wfv,0.5355687615019338
QuantRadn,0.5234519884464782
Vitel_100cm_a,-0.521335591325777
eR_tc,0.5169398348762632
eR,0.509257037434424
TotalRadn,0.506075791460436
eI,0.49396631361824217
SoilCond,0.4939663109782114
Vitel_100cm_c,0.4630639691349517
Pressure_1,-0.4107515253732109
WndSpd_10m_WVc_4,0.36646907622939323
AirT_9pt5m,0.34482293046909174
WndSpd_2m_WVc_4,0.32304724492515624
RH_2m,-0.24099371894213326
WndSpd_10m_WVc_3,0.21253816301346107
WndSpd_2m_WVc_3,0.21070124233087031
RH_10m,-0.20150945370041873
WndSpd_10m_WVc_2,-0.18143011997374917
WndDir_10m,0.1722042264884468
WndDir_2m,0.1665542614007783
WndSpd_2m_WVc_2,-0.1529568387088839
WndSpd_10m_WVc_1,-0.15161802197407004
WndSpd_10m,-0.1384362177975833
Hour,0.1366638326825534
WndSpd_2m_WVc_1,-0.10739061047085371
WndSpd_2m,-0.09652341811353653
WndSpd_Vert_Min,-0.0864960758436275
WndSpd_Vert_Tot,-0.08607299296790476
WndSpd_10m_Max,-0.0859493378987106
WndSpd_Vert,-0.08021370838990409
Vitel_100cm_b,-0.06379210796369832
WndSpd_2m_Std,0.059560407738157184
WndSpd_Vert_Max,-0.049125718942980234
Pressure_2,-0.04612538413085846
WndSpd_2m_Max,-0.045625263905061844
Precip_TB3_Today,-0.03698197376562833
Precip_TX_Today,-0.03431894570447394
WndSpd_10m_Std,0.031199599762920284
SoilT_5cm,0.02851859881621105
SoilT_10cm,0.026892624549102014
SoilT_20cm,0.023028357706910557
SoilT_50cm,0.020471623233345417
SoilT_100cm,0.017080757208337734
Precip_TB3_Tot,-0.009313770271010517
Precip_TX_Tot,-0.008648628466260508
NaCI,0.0004475111550831637
Minute,-0.00021263547332594398
SoilType,
