,WndSpd_10m
WndSpd_10m,1.0
WndSpd_10m_WVc_1,0.7194978595270016
WndSpd_10m_WVc_2,0.7123184606998865
WndSpd_10m_Max,0.7078743041899634
WndSpd_2m_WVc_1,0.702260753900459
WndSpd_2m_Max,0.6946597808955314
WndSpd_2m_WVc_2,0.6937023181065506
WndSpd_2m,0.6321719343137998
WndSpd_2m_Std,0.6087160676414413
WndSpd_10m_Std,0.5986624939540061
RH_2m,-0.3269770876676608
RH_10m,-0.29754329106930305
WndSpd_2m_WVc_4,0.28471447593720584
wfv,-0.23584257368571326
eI_tc,-0.23099404745210658
SoilCond_tc,-0.23099404660729195
TotalRadn,0.22698720676502745
DayOfYear,-0.22439146593571876
QuantRadn,0.22337333359168723
SoilCond,-0.2160599315158261
eI,-0.2160599297230539
eR_tc,-0.21534971199622838
Vitel_100cm_c,-0.21471936570501846
eR,-0.21412211040160622
Vitel_100cm_d,0.21373135266160187
WndSpd_10m_WVc_4,0.2121430672777191
Temp_C,-0.2116059759411239
WndSpd_2m_WVc_3,0.20116333605827647
Vitel_100cm_a,0.19592057958825249
Pressure_1,0.17056260106620091
AirT_2m,-0.15861743074437037
AirT_1pt5m,-0.14422562922231744
IRTS_Body,-0.10614769018617963
WndSpd_Vert_Tot,-0.10552121508297645
WndSpd_Vert_Min,-0.10202247192026262
WndSpd_Vert,-0.09930087699895461
AirT_9pt5m,-0.09686118978006741
PTemp,-0.09420860090942046
WndSpd_Vert_Max,-0.07356005760805327
WndSpd_10m_WVc_3,0.07175077910594696
IRTS_Trgt,0.05894328766957734
WndDir_10m,-0.052724269895585936
SoilSfcT,0.05079328077792063
AirT_10m,-0.0483316383013145
Hour,-0.045529869910165735
WndDir_2m,-0.04112613619471459
Precip_TX_Tot,0.02589066614396343
Precip_TB3_Tot,0.02545648451714689
Pressure_2,-0.01587865680265143
Vitel_100cm_b,0.008502859510130545
Precip_TB3_Today,0.008212448484255166
SoilT_5cm,-0.007041702124475031
Precip_TX_Today,0.006985050801004994
SoilT_10cm,-0.006858407900220326
SoilT_20cm,-0.00615072107318645
SoilT_50cm,-0.004797756053834225
SoilT_100cm,-0.003960855134690184
NaCI,-0.00187329367549725
Minute,-0.0009235560877868848
SoilType,
