,WndSpd_2m_Max
WndSpd_2m_Max,1.0
WndSpd_2m_WVc_1,0.7828653155893794
WndSpd_10m_Max,0.7771394055373941
WndSpd_10m_WVc_1,0.765086269483601
WndSpd_2m_WVc_2,0.7556389571006714
WndSpd_10m_WVc_2,0.7471884473049474
WndSpd_2m_Std,0.7221455616717004
WndSpd_2m,0.7042430575727323
WndSpd_10m,0.6963971791938447
WndSpd_10m_Std,0.6920870652936852
WndSpd_2m_WVc_4,0.40630017841280924
RH_2m,-0.37795941648948744
TotalRadn,0.3376309449180758
RH_10m,-0.33663180471062576
QuantRadn,0.3360142557650555
WndSpd_10m_WVc_4,0.3220213362982491
WndSpd_2m_WVc_3,0.2876484958744393
wfv,-0.25494002775888597
SoilCond_tc,-0.25016421558018287
eI_tc,-0.2501642125535974
DayOfYear,-0.23928083311368345
Vitel_100cm_c,-0.2392598483295846
SoilCond,-0.23741090987307248
eI,-0.2374109073775429
eR_tc,-0.22927250948031858
eR,-0.22789258066074147
Vitel_100cm_d,0.22773677190985472
Temp_C,-0.22611806591666625
Vitel_100cm_a,0.2134569143124934
IRTS_Trgt,0.18367578431654547
SoilSfcT,0.17472633397222045
WndSpd_10m_WVc_3,0.13879011802234748
WndSpd_Vert_Min,-0.11416639586821385
Pressure_1,0.11404182408643238
WndSpd_Vert_Tot,-0.11000829629348512
WndSpd_Vert,-0.10303473300519983
AirT_2m,-0.07355483586073804
AirT_9pt5m,-0.07302534376073457
WndSpd_Vert_Max,-0.06789491802960233
AirT_1pt5m,-0.053323723059732826
Precip_TB3_Tot,0.035709454649708684
Precip_TX_Tot,0.035404462330562804
Pressure_2,0.034234841462482554
AirT_10m,0.03327478695944047
Precip_TB3_Today,0.026644898553282875
Hour,-0.02625867944548703
Precip_TX_Today,0.025288397553687877
IRTS_Body,-0.015453845402697128
PTemp,0.007202446479810851
WndDir_2m,0.005612210241700096
SoilT_10cm,-0.0055439135440078936
SoilT_5cm,-0.005448433781314745
SoilT_20cm,-0.0053071082463209225
SoilT_50cm,-0.00397104845705436
SoilT_100cm,-0.003195790016135381
Vitel_100cm_b,0.0027085937834519713
NaCI,-0.0018037151289809334
Minute,-0.0015165107566891818
WndDir_10m,0.0005724061807213004
SoilType,
