,Precip_TX_Tot
Precip_TX_Tot,1.0
Precip_TB3_Tot,0.30085559492428815
WndSpd_Vert_Max,0.15255109977276662
Precip_TB3_Today,0.08568398035404157
Precip_TX_Today,0.0848770066849861
Pressure_1,-0.06029624486936488
WndSpd_10m_Std,0.055023676079140126
RH_10m,0.05165852089739666
WndSpd_Vert,0.0508319656572492
RH_2m,0.04992434146165887
WndSpd_2m_Std,0.04823912766060539
WndSpd_10m_Max,0.04581012911906001
WndSpd_Vert_Tot,0.045292502950538195
WndSpd_2m_Max,0.04219264052983438
WndSpd_Vert_Min,-0.03978023079101308
WndSpd_10m_WVc_4,0.0366767541701291
TotalRadn,-0.03500216259911128
WndSpd_10m_WVc_1,0.03421674190949793
QuantRadn,-0.03413555774656469
Vitel_100cm_c,-0.03352768840054618
WndSpd_2m_WVc_4,0.03242451646588299
WndSpd_2m_WVc_1,0.03242415579088829
WndSpd_10m,0.03171233713456679
WndSpd_2m_WVc_3,0.03161481552929631
WndSpd_10m_WVc_2,0.0290675273660428
WndSpd_2m,0.02787351270123864
WndSpd_2m_WVc_2,0.026870500284569353
WndSpd_10m_WVc_3,0.02422695652316287
WndDir_10m,0.01919824408194329
SoilCond,-0.018710449527631498
eI,-0.018710449316086158
WndDir_2m,0.017595784451991628
Pressure_2,0.016533071677846622
wfv,-0.015478137931933748
AirT_9pt5m,-0.014031505467733185
eR_tc,-0.013091026911636624
eR,-0.012949146000817074
SoilCond_tc,-0.012356070217131249
eI_tc,-0.012356066505052023
AirT_10m,0.0091873314663743
IRTS_Body,0.007275376888894801
Hour,-0.00668553429279344
SoilSfcT,0.006327162290793762
Temp_C,-0.005647857999765156
PTemp,0.005501580802436443
Minute,-0.005152458390659011
IRTS_Trgt,0.00502532399815017
Vitel_100cm_a,0.004670160893979708
DayOfYear,-0.00462186712479218
Vitel_100cm_d,0.004580565106970934
Vitel_100cm_b,-0.002095621022544085
AirT_2m,0.001212298357098577
SoilT_5cm,0.0007639637428360147
AirT_1pt5m,0.0007306860776723731
SoilT_20cm,0.0007221660672343087
SoilT_100cm,0.0007176533425092251
SoilT_50cm,0.0006724689889168488
SoilT_10cm,0.0006506359095297391
NaCI,-0.0005906695892161374
SoilType,
