,WndSpd_10m_WVc_1
WndSpd_10m_WVc_1,1.0
WndSpd_10m_WVc_2,0.78442611068253
WndSpd_10m_Max,0.7786125281239473
WndSpd_2m_WVc_1,0.7733591075788669
WndSpd_2m_Max,0.765114379819893
WndSpd_2m_WVc_2,0.7644964019468392
WndSpd_10m,0.7206999533445548
WndSpd_2m,0.6955370887818317
WndSpd_2m_Std,0.6706446235341514
WndSpd_10m_Std,0.6572743482625135
RH_2m,-0.360202683299602
RH_10m,-0.327792182391431
WndSpd_2m_WVc_4,0.31216242164256564
wfv,-0.25987459120587636
SoilCond_tc,-0.25478426219192035
eI_tc,-0.25478426130690085
TotalRadn,0.24988002849834742
DayOfYear,-0.24734883391671098
QuantRadn,0.24590193208406586
SoilCond,-0.23883542453751647
eI,-0.2388354216647094
Vitel_100cm_c,-0.23747924739735612
eR_tc,-0.23729878723983555
eR,-0.2359586963399156
Vitel_100cm_d,0.23512897387210102
WndSpd_10m_WVc_4,0.23304066995074396
Temp_C,-0.23274393689459041
WndSpd_2m_WVc_3,0.22294656816438374
Vitel_100cm_a,0.21577303075816648
Pressure_1,0.18686963582413113
AirT_2m,-0.17336984285953339
AirT_1pt5m,-0.1577111536957489
WndSpd_Vert_Tot,-0.11574965346476258
IRTS_Body,-0.11565614100472164
WndSpd_Vert_Min,-0.11250297248144621
WndSpd_Vert,-0.1087886150501542
AirT_9pt5m,-0.10621776502176779
PTemp,-0.10251196770910037
WndSpd_Vert_Max,-0.08020937200373737
WndSpd_10m_WVc_3,0.0801627361660199
IRTS_Trgt,0.06575404976872651
WndDir_10m,-0.05762060246093641
SoilSfcT,0.05681926598396938
AirT_10m,-0.05256970823553851
Hour,-0.049299962285871544
WndDir_2m,-0.04369304688929405
Precip_TX_Tot,0.026959130533138337
Precip_TB3_Tot,0.02661325887986107
Pressure_2,-0.01824302266463023
Precip_TB3_Today,0.00854509259707522
Vitel_100cm_b,0.008149187359291554
SoilT_5cm,-0.007760080850137768
SoilT_10cm,-0.007560295821504975
Precip_TX_Today,0.007123465154463687
SoilT_20cm,-0.006792628536533784
SoilT_50cm,-0.005307299082827877
SoilT_100cm,-0.004386902939589022
NaCI,-0.0016738896713352682
Minute,-0.001148958911669152
SoilType,
