,WndDir_10m
WndDir_10m,1.0
WndSpd_10m_WVc_3,0.46364792355707196
WndDir_2m,0.37916022270226907
WndSpd_2m_WVc_3,0.3482019272352759
Pressure_1,-0.2633981043016238
IRTS_Body,0.20037751561030068
PTemp,0.19583266072534355
AirT_2m,0.18683385703409974
AirT_1pt5m,0.18368930367892689
SoilSfcT,0.16290674731256546
IRTS_Trgt,0.15991522495109503
WndSpd_10m_WVc_4,0.14281589742208203
Vitel_100cm_a,-0.1151914395891946
WndSpd_2m_WVc_4,0.11417515359498312
Hour,0.11027641984734543
Temp_C,0.10032093064438509
Vitel_100cm_d,-0.09845872529394085
wfv,0.08883369029531821
eR_tc,0.08477848722226874
eR,0.08376032119104938
AirT_10m,0.08296509112374023
eI_tc,0.0804298341226881
SoilCond_tc,0.08042983008076089
WndSpd_10m_Std,0.08033738815292193
Precip_TX_Today,0.07639513472442298
QuantRadn,0.07502267898362826
Precip_TB3_Today,0.07475154401565312
DayOfYear,0.0736185200278868
WndSpd_10m_WVc_2,-0.07239152406209218
WndSpd_2m_Std,0.07217472634522737
TotalRadn,0.06780933543157205
WndSpd_2m_WVc_2,-0.06518787514576325
AirT_9pt5m,0.059342389860179756
WndSpd_10m_WVc_1,-0.0563846706998903
SoilCond,0.055329676848833026
eI,0.05532967490967256
WndSpd_10m,-0.05301125176701296
WndSpd_Vert_Min,-0.0476591105466353
WndSpd_Vert_Tot,-0.04706842451536986
WndSpd_Vert,-0.04422516895528864
WndSpd_2m_WVc_1,-0.04138636498816787
WndSpd_2m,-0.03881530638411673
Vitel_100cm_b,-0.038565570429057464
RH_10m,-0.03323459368800322
RH_2m,-0.033018468360994715
WndSpd_Vert_Max,-0.026233235344738745
Precip_TB3_Tot,0.01885541469376455
Pressure_2,-0.0186964837422001
Precip_TX_Tot,0.01790775682868802
SoilT_5cm,0.01292948435261362
SoilT_10cm,0.012697589843495595
SoilT_20cm,0.011542721606771108
SoilT_50cm,0.010965953093920677
SoilT_100cm,0.010700355977273921
Vitel_100cm_c,-0.005022329152482052
WndSpd_2m_Max,0.004895986188372657
WndSpd_10m_Max,-0.0026559978466472365
Minute,0.0010248125438689008
NaCI,-0.0005972193247771925
SoilType,
